Metric,Scenario,Mean Acc,Std Acc,Min Acc,Max Acc,Avg Epochs
Adamic Adar,A: Full + Binary,0.797,0.0,0.797,0.797,29.0
Adamic Adar,B: Sparse + Binary,0.7362,0.0479,0.681,0.797,30.625
Adamic Adar,C: Full + Weighted,0.718,0.0,0.718,0.718,32.0
Adamic Adar,D: Sparse + Weighted,0.688,0.0319,0.639,0.721,31.75
Effective Resistance,A: Full + Binary,0.797,0.0,0.797,0.797,29.0
Effective Resistance,B: Sparse + Binary,0.7525,0.0452,0.668,0.797,29.375
Effective Resistance,C: Full + Weighted,0.788,0.0,0.788,0.788,29.0
Effective Resistance,D: Sparse + Weighted,0.7371,0.0423,0.671,0.788,29.875
Jaccard,A: Full + Binary,0.797,0.0,0.797,0.797,29.0
Jaccard,B: Sparse + Binary,0.7281,0.0605,0.645,0.797,31.0
Jaccard,C: Full + Weighted,0.733,0.0,0.733,0.733,31.0
Jaccard,D: Sparse + Weighted,0.7002,0.0458,0.634,0.753,32.375
